timeReceived,version,timeIssued,type,id,label
1493402187095,1,1493402187090,TASK_START,100,100
1493402187148,1,1493402187093,BASELINE_START,200,200
1493402367146,1,1493402367102,BASELINE_END,200,200
1493402367188,1,1493402367103,BREAK_START,0,1
1493402398148,1,1493402398106,BREAK_END,0,1
1493402398189,1,1493402398108,TRAINING_START,0,1
1493402460155,1,1493402460113,TRAINING_END,0,1
1493402460196,1,1493402460114,BREAK_START,1,0
1493402491156,1,1493402491114,BREAK_END,1,0
1493402491197,1,1493402491117,TRAINING_START,1,0
1493402553169,1,1493402553127,TRAINING_END,1,0
1493402553210,1,1493402553128,BREAK_START,2,1
1493402584171,1,1493402584129,BREAK_END,2,1
1493402584213,1,1493402584131,TRAINING_START,2,1
1493402646176,1,1493402646134,TRAINING_END,2,1
1493402646217,1,1493402646135,BREAK_START,3,0
1493402677178,1,1493402677135,BREAK_END,3,0
1493402677219,1,1493402677138,TRAINING_START,3,0
1493402739193,1,1493402739148,TRAINING_END,3,0
1493402739234,1,1493402739152,BREAK_START,4,0
1493402770196,1,1493402770154,BREAK_END,4,0
1493402770237,1,1493402770156,TRAINING_START,4,0
1493402832204,1,1493402832162,TRAINING_END,4,0
1493402832245,1,1493402832163,BREAK_START,5,1
1493402863206,1,1493402863163,BREAK_END,5,1
1493402863247,1,1493402863166,TRAINING_START,5,1
1493402925211,1,1493402925169,TRAINING_END,5,1
1493402925252,1,1493402925169,BREAK_START,6,0
1493402956212,1,1493402956170,BREAK_END,6,0
1493402956253,1,1493402956172,TRAINING_START,6,0
1493403018224,1,1493403018182,TRAINING_END,6,0
1493403018265,1,1493403018182,BREAK_START,7,1
1493403049226,1,1493403049183,BREAK_END,7,1
1493403049268,1,1493403049187,TRAINING_START,7,1
1493403111234,1,1493403111193,TRAINING_END,7,1
1493403111275,1,1493403111193,BREAK_START,8,0
1493403142239,1,1493403142197,BREAK_END,8,0
1493403142280,1,1493403142199,TRAINING_START,8,0
1493403204250,1,1493403204208,TRAINING_END,8,0
1493403204291,1,1493403204208,BREAK_START,9,0
1493403235251,1,1493403235209,BREAK_END,9,0
1493403235292,1,1493403235211,TRAINING_START,9,0
1493403297263,1,1493403297220,TRAINING_END,9,0
1493403297304,1,1493403297221,BREAK_START,10,1
1493403328266,1,1493403328222,BREAK_END,10,1
1493403328307,1,1493403328225,TRAINING_START,10,1
1493403390273,1,1493403390229,TRAINING_END,10,1
1493403390314,1,1493403390230,BREAK_START,11,1
1493403421274,1,1493403421232,BREAK_END,11,1
1493403421315,1,1493403421234,TRAINING_START,11,1
1493403483279,1,1493403483236,TRAINING_END,11,1
1493403483320,1,1493403483237,BREAK_START,12,0
1493403514281,1,1493403514238,BREAK_END,12,0
1493403514322,1,1493403514240,TRAINING_START,12,0
1493403576292,1,1493403576250,TRAINING_END,12,0
1493403576333,1,1493403576251,BREAK_START,13,0
1493403607296,1,1493403607251,BREAK_END,13,0
1493403607338,1,1493403607254,TRAINING_START,13,0
1493403669310,1,1493403669266,TRAINING_END,13,0
1493403669351,1,1493403669267,BREAK_START,14,0
1493403700311,1,1493403700267,BREAK_END,14,0
1493403700352,1,1493403700270,TRAINING_START,14,0
1493403762324,1,1493403762281,TRAINING_END,14,0
1493403762365,1,1493403762282,BREAK_START,15,1
1493403793325,1,1493403793282,BREAK_END,15,1
1493403793366,1,1493403793285,TRAINING_START,15,1
1493403855330,1,1493403855288,TRAINING_END,15,1
1493403855371,1,1493403855288,BREAK_START,16,1
1493403886331,1,1493403886289,BREAK_END,16,1
1493403886372,1,1493403886290,TRAINING_START,16,1
1493403948336,1,1493403948294,TRAINING_END,16,1
1493403948377,1,1493403948294,BREAK_START,17,0
1493403979339,1,1493403979295,BREAK_END,17,0
1493403979380,1,1493403979298,TRAINING_START,17,0
1493404041352,1,1493404041310,TRAINING_END,17,0
1493404041393,1,1493404041311,BREAK_START,18,1
1493404072354,1,1493404072311,BREAK_END,18,1
1493404072395,1,1493404072314,TRAINING_START,18,1
1493404134360,1,1493404134317,TRAINING_END,18,1
1493404134401,1,1493404134318,BREAK_START,19,1
1493404165370,1,1493404165327,BREAK_END,19,1
1493404165411,1,1493404165329,TRAINING_START,19,1
1493404227376,1,1493404227333,TRAINING_END,19,1
1493404227417,1,1493404227334,TASK_END,100,100
1493404227458,1,1493404227334,CONNECTION_CLOSE,300,300
