trial,time_start,condition,time_end,correct_clicks,incorrect_clicks
0,1493402398108,1,1493402460113,3,15
1,1493402491117,0,1493402553127,26,0
2,1493402584131,1,1493402646134,6,15
3,1493402677138,0,1493402739148,32,0
4,1493402770156,0,1493402832162,28,2
5,1493402863166,1,1493402925169,6,15
6,1493402956172,0,1493403018182,27,0
7,1493403049187,1,1493403111193,9,13
8,1493403142199,0,1493403204208,31,1
9,1493403235211,0,1493403297220,29,0
10,1493403328225,1,1493403390229,8,14
11,1493403421234,1,1493403483236,10,17
12,1493403514240,0,1493403576250,32,0
13,1493403607254,0,1493403669266,36,0
14,1493403700270,0,1493403762281,38,1
15,1493403793285,1,1493403855288,9,22
16,1493403886290,1,1493403948294,7,20
17,1493403979298,0,1493404041310,35,1
18,1493404072314,1,1493404134317,14,14
19,1493404165329,1,1493404227333,8,20
