timeReceived,version,timeIssued,type,id,label
1493926794799,1,1493926794795,TASK_START,10000,10000
1493926831141,1,1493926831098,BASELINE_START,20000,20000
1493927011145,1,1493927011101,BASELINE_END,20000,20000
1493927011187,1,1493927011102,BREAK_START,1000,1000
1493927041147,1,1493927041104,BREAK_END,1000,1000
1493927041188,1,1493927041108,TRAINING_START,0,2
1493927101171,1,1493927101127,TRAINING_END,0,2
1493927101213,1,1493927101128,BREAK_START,1001,1001
1493927131175,1,1493927131129,BREAK_END,1001,1001
1493927131216,1,1493927131131,TRAINING_START,1,1
1493927191195,1,1493927191150,TRAINING_END,1,1
1493927191237,1,1493927191153,BREAK_START,1002,1002
1493927221198,1,1493927221154,BREAK_END,1002,1002
1493927221239,1,1493927221155,TRAINING_START,2,1
1493927281217,1,1493927281173,TRAINING_END,2,1
1493927281259,1,1493927281175,BREAK_START,1003,1003
1493927311225,1,1493927311176,BREAK_END,1003,1003
1493927311266,1,1493927311181,TRAINING_START,3,2
1493927371244,1,1493927371201,TRAINING_END,3,2
1493927371286,1,1493927371202,BREAK_START,1004,1004
1493927401246,1,1493927401203,BREAK_END,1004,1004
1493927401288,1,1493927401204,TRAINING_START,4,2
1493927461264,1,1493927461221,TRAINING_END,4,2
1493927461305,1,1493927461222,BREAK_START,1005,1005
1493927491267,1,1493927491223,BREAK_END,1005,1005
1493927491308,1,1493927491225,TRAINING_START,5,1
1493927551284,1,1493927551242,TRAINING_END,5,1
1493927551325,1,1493927551243,BREAK_START,1006,1006
1493927581287,1,1493927581244,BREAK_END,1006,1006
1493927581328,1,1493927581245,TRAINING_START,6,1
1493927641307,1,1493927641264,TRAINING_END,6,1
1493927641348,1,1493927641265,BREAK_START,1007,1007
1493927671310,1,1493927671266,BREAK_END,1007,1007
1493927671351,1,1493927671267,TRAINING_START,7,1
1493927731330,1,1493927731287,TRAINING_END,7,1
1493927731371,1,1493927731288,BREAK_START,1008,1008
1493927761332,1,1493927761289,BREAK_END,1008,1008
1493927761373,1,1493927761290,TRAINING_START,8,2
1493927821351,1,1493927821308,TRAINING_END,8,2
1493927821393,1,1493927821309,BREAK_START,1009,1009
1493927851354,1,1493927851310,BREAK_END,1009,1009
1493927851396,1,1493927851311,TRAINING_START,9,1
1493927911372,1,1493927911328,TRAINING_END,9,1
1493927911413,1,1493927911329,BREAK_START,1010,1010
1493927941376,1,1493927941331,BREAK_END,1010,1010
1493927941417,1,1493927941334,TRAINING_START,10,1
1493928001394,1,1493928001350,TRAINING_END,10,1
1493928001435,1,1493928001352,BREAK_START,1011,1011
1493928031400,1,1493928031356,BREAK_END,1011,1011
1493928031441,1,1493928031357,TRAINING_START,11,1
1493928091418,1,1493928091374,TRAINING_END,11,1
1493928091460,1,1493928091376,BREAK_START,1012,1012
1493928121422,1,1493928121377,BREAK_END,1012,1012
1493928121464,1,1493928121379,TRAINING_START,12,1
1493928181438,1,1493928181396,TRAINING_END,12,1
1493928181479,1,1493928181397,BREAK_START,1013,1013
1493928211443,1,1493928211398,BREAK_END,1013,1013
1493928211484,1,1493928211399,TRAINING_START,13,2
1493928271461,1,1493928271418,TRAINING_END,13,2
1493928271502,1,1493928271419,BREAK_START,1014,1014
1493928301464,1,1493928301420,BREAK_END,1014,1014
1493928301505,1,1493928301421,TRAINING_START,14,2
1493928361481,1,1493928361438,TRAINING_END,14,2
1493928361524,1,1493928361439,BREAK_START,1015,1015
1493928391484,1,1493928391440,BREAK_END,1015,1015
1493928391525,1,1493928391442,TRAINING_START,15,2
1493928451502,1,1493928451459,TRAINING_END,15,2
1493928451543,1,1493928451460,BREAK_START,1016,1016
1493928481505,1,1493928481461,BREAK_END,1016,1016
1493928481546,1,1493928481462,TRAINING_START,16,2
1493928541524,1,1493928541479,TRAINING_END,16,2
1493928541566,1,1493928541481,BREAK_START,1017,1017
1493928571526,1,1493928571482,BREAK_END,1017,1017
1493928571567,1,1493928571484,TRAINING_START,17,2
1493928631544,1,1493928631500,TRAINING_END,17,2
1493928631585,1,1493928631501,BREAK_START,1018,1018
1493928661546,1,1493928661502,BREAK_END,1018,1018
1493928661587,1,1493928661503,TRAINING_START,18,1
1493928721563,1,1493928721520,TRAINING_END,18,1
1493928721605,1,1493928721521,BREAK_START,1019,1019
1493928751565,1,1493928751522,BREAK_END,1019,1019
1493928751606,1,1493928751523,TRAINING_START,19,2
1493928811583,1,1493928811539,TRAINING_END,19,2
1493928811624,1,1493928811541,TASK_END,10000,10000
1493928811665,1,1493928811541,CONNECTION_CLOSE,30000,30000
