trial,time_start,condition,time_end,correct_clicks,incorrect_clicks
0,1493929151756,1,1493929211761,8,17
1,1493929241765,1,1493929301768,6,21
2,1493929331773,0,1493929391782,31,3
3,1493929421786,0,1493929481798,27,2
4,1493929511801,1,1493929571805,10,16
5,1493929601808,1,1493929661811,5,20
6,1493929691814,0,1493929751824,31,0
7,1493929781828,1,1493929841831,10,16
8,1493929871835,0,1493929931844,35,0
9,1493929961849,0,1493930021858,31,1
10,1493930051861,1,1493930111867,10,17
11,1493930141870,1,1493930201873,12,16
12,1493930231877,0,1493930291888,33,0
13,1493930321892,0,1493930381902,29,1
14,1493930411908,0,1493930471916,30,2
15,1493930501919,0,1493930561930,31,0
16,1493930591933,1,1493930651937,13,17
17,1493930681940,1,1493930741943,14,16
18,1493930771947,1,1493930831950,8,22
19,1493930861953,0,1493930921962,36,1
