trial,time_start,condition,time_end,correct_clicks,incorrect_clicks
0,1494257128396,1,1494257188403,6,6
1,1494257218408,1,1494257278413,5,12
2,1494257308417,1,1494257368420,7,10
3,1494257398423,1,1494257458426,13,10
4,1494257488430,1,1494257548433,9,14
5,1494257578438,1,1494257638442,7,17
6,1494257668446,0,1494257728452,36,0
7,1494257758455,0,1494257818463,35,2
8,1494257848466,1,1494257908471,9,11
9,1494257938474,0,1494257998483,31,2
10,1494258028486,0,1494258088494,36,0
11,1494258118498,0,1494258178508,38,1
12,1494258208511,0,1494258268520,34,0
13,1494258298527,0,1494258358538,35,2
14,1494258388541,1,1494258448544,8,17
15,1494258478548,1,1494258538553,7,19
16,1494258568556,0,1494258628565,38,1
17,1494258658573,0,1494258718582,35,1
18,1494258748588,0,1494258808599,41,0
19,1494258838602,1,1494258898605,9,14
