timeReceived,version,timeIssued,type,id,label
1494429541665,1,1494429541660,TASK_START,10000,10000
1494429581462,1,1494429581420,BASELINE_START,20000,20000
1494429761466,1,1494429761422,BASELINE_END,20000,20000
1494429761507,1,1494429761423,BREAK_START,1000,1000
1494429791467,1,1494429791424,BREAK_END,1000,1000
1494429791508,1,1494429791427,TRAINING_START,0,1
1494429851486,1,1494429851444,TRAINING_END,0,1
1494429851527,1,1494429851445,BREAK_START,1001,1001
1494429881489,1,1494429881446,BREAK_END,1001,1001
1494429881530,1,1494429881447,TRAINING_START,1,2
1494429941507,1,1494429941463,TRAINING_END,1,2
1494429941548,1,1494429941465,BREAK_START,1002,1002
1494429971509,1,1494429971466,BREAK_END,1002,1002
1494429971550,1,1494429971467,TRAINING_START,2,1
1494430031526,1,1494430031483,TRAINING_END,2,1
1494430031567,1,1494430031484,BREAK_START,1003,1003
1494430061531,1,1494430061486,BREAK_END,1003,1003
1494430061572,1,1494430061490,TRAINING_START,3,1
1494430121551,1,1494430121508,TRAINING_END,3,1
1494430121592,1,1494430121509,BREAK_START,1004,1004
1494430151553,1,1494430151510,BREAK_END,1004,1004
1494430151594,1,1494430151511,TRAINING_START,4,2
1494430211568,1,1494430211526,TRAINING_END,4,2
1494430211609,1,1494430211527,BREAK_START,1005,1005
1494430241571,1,1494430241527,BREAK_END,1005,1005
1494430241612,1,1494430241529,TRAINING_START,5,1
1494430301589,1,1494430301544,TRAINING_END,5,1
1494430301631,1,1494430301545,BREAK_START,1006,1006
1494430331589,1,1494430331547,BREAK_END,1006,1006
1494430331630,1,1494430331548,TRAINING_START,6,2
1494430391609,1,1494430391566,TRAINING_END,6,2
1494430391651,1,1494430391567,BREAK_START,1007,1007
1494430421610,1,1494430421568,BREAK_END,1007,1007
1494430421651,1,1494430421569,TRAINING_START,7,2
1494430481628,1,1494430481585,TRAINING_END,7,2
1494430481669,1,1494430481586,BREAK_START,1008,1008
1494430511630,1,1494430511587,BREAK_END,1008,1008
1494430511671,1,1494430511589,TRAINING_START,8,1
1494430571647,1,1494430571604,TRAINING_END,8,1
1494430571688,1,1494430571605,BREAK_START,1009,1009
1494430601649,1,1494430601606,BREAK_END,1009,1009
1494430601690,1,1494430601607,TRAINING_START,9,1
1494430661665,1,1494430661622,TRAINING_END,9,1
1494430661706,1,1494430661623,BREAK_START,1010,1010
1494430691670,1,1494430691625,BREAK_END,1010,1010
1494430691711,1,1494430691627,TRAINING_START,10,1
1494430751686,1,1494430751643,TRAINING_END,10,1
1494430751727,1,1494430751644,BREAK_START,1011,1011
1494430781690,1,1494430781647,BREAK_END,1011,1011
1494430781731,1,1494430781648,TRAINING_START,11,2
1494430841708,1,1494430841665,TRAINING_END,11,2
1494430841750,1,1494430841666,BREAK_START,1012,1012
1494430871710,1,1494430871667,BREAK_END,1012,1012
1494430871751,1,1494430871668,TRAINING_START,12,2
1494430931727,1,1494430931684,TRAINING_END,12,2
1494430931768,1,1494430931685,BREAK_START,1013,1013
1494430961730,1,1494430961686,BREAK_END,1013,1013
1494430961771,1,1494430961687,TRAINING_START,13,2
1494431021748,1,1494431021706,TRAINING_END,13,2
1494431021789,1,1494431021707,BREAK_START,1014,1014
1494431051751,1,1494431051707,BREAK_END,1014,1014
1494431051792,1,1494431051709,TRAINING_START,14,1
1494431111767,1,1494431111724,TRAINING_END,14,1
1494431111810,1,1494431111725,BREAK_START,1015,1015
1494431141769,1,1494431141726,BREAK_END,1015,1015
1494431141810,1,1494431141727,TRAINING_START,15,1
1494431201788,1,1494431201744,TRAINING_END,15,1
1494431201829,1,1494431201745,BREAK_START,1016,1016
1494431231790,1,1494431231746,BREAK_END,1016,1016
1494431231831,1,1494431231748,TRAINING_START,16,2
1494431291807,1,1494431291763,TRAINING_END,16,2
1494431291848,1,1494431291765,BREAK_START,1017,1017
1494431321811,1,1494431321767,BREAK_END,1017,1017
1494431321852,1,1494431321769,TRAINING_START,17,2
1494431381827,1,1494431381785,TRAINING_END,17,2
1494431381868,1,1494431381786,BREAK_START,1018,1018
1494431411830,1,1494431411787,BREAK_END,1018,1018
1494431411871,1,1494431411788,TRAINING_START,18,1
1494431471847,1,1494431471804,TRAINING_END,18,1
1494431471888,1,1494431471805,BREAK_START,1019,1019
1494431501849,1,1494431501806,BREAK_END,1019,1019
1494431501890,1,1494431501807,TRAINING_START,19,2
1494431561866,1,1494431561823,TRAINING_END,19,2
1494431561907,1,1494431561824,TASK_END,10000,10000
1494431561948,1,1494431561825,CONNECTION_CLOSE,30000,30000
