timeReceived,version,timeIssued,type,id,label
1494431667415,1,1494431667411,TASK_START,100,100
1494431667464,1,1494431667413,BASELINE_START,200,200
1494431847463,1,1494431847420,BASELINE_END,200,200
1494431847504,1,1494431847421,BREAK_START,0,1
1494431877465,1,1494431877422,BREAK_END,0,1
1494431877507,1,1494431877426,TRAINING_START,0,1
1494431937473,1,1494431937432,TRAINING_END,0,1
1494431937514,1,1494431937432,BREAK_START,1,0
1494431967476,1,1494431967433,BREAK_END,1,0
1494431967517,1,1494431967434,TRAINING_START,1,0
1494432027485,1,1494432027442,TRAINING_END,1,0
1494432027526,1,1494432027443,BREAK_START,2,1
1494432057487,1,1494432057445,BREAK_END,2,1
1494432057528,1,1494432057447,TRAINING_START,2,1
1494432117494,1,1494432117451,TRAINING_END,2,1
1494432117535,1,1494432117452,BREAK_START,3,0
1494432147494,1,1494432147452,BREAK_END,3,0
1494432147535,1,1494432147454,TRAINING_START,3,0
1494432207507,1,1494432207462,TRAINING_END,3,0
1494432207548,1,1494432207465,BREAK_START,4,0
1494432237508,1,1494432237466,BREAK_END,4,0
1494432237549,1,1494432237468,TRAINING_START,4,0
1494432297518,1,1494432297476,TRAINING_END,4,0
1494432297559,1,1494432297476,BREAK_START,5,1
1494432327520,1,1494432327477,BREAK_END,5,1
1494432327561,1,1494432327480,TRAINING_START,5,1
1494432387524,1,1494432387482,TRAINING_END,5,1
1494432387565,1,1494432387483,BREAK_START,6,0
1494432417525,1,1494432417483,BREAK_END,6,0
1494432417566,1,1494432417485,TRAINING_START,6,0
1494432477533,1,1494432477491,TRAINING_END,6,0
1494432477574,1,1494432477491,BREAK_START,7,1
1494432507534,1,1494432507492,BREAK_END,7,1
1494432507575,1,1494432507494,TRAINING_START,7,1
1494432567539,1,1494432567496,TRAINING_END,7,1
1494432567580,1,1494432567497,BREAK_START,8,1
1494432597540,1,1494432597499,BREAK_END,8,1
1494432597581,1,1494432597500,TRAINING_START,8,1
1494432657545,1,1494432657503,TRAINING_END,8,1
1494432657586,1,1494432657503,BREAK_START,9,1
1494432687546,1,1494432687504,BREAK_END,9,1
1494432687587,1,1494432687506,TRAINING_START,9,1
1494432747551,1,1494432747509,TRAINING_END,9,1
1494432747592,1,1494432747510,BREAK_START,10,0
1494432777553,1,1494432777510,BREAK_END,10,0
1494432777595,1,1494432777512,TRAINING_START,10,0
1494432837564,1,1494432837523,TRAINING_END,10,0
1494432837605,1,1494432837523,BREAK_START,11,0
1494432867566,1,1494432867524,BREAK_END,11,0
1494432867607,1,1494432867526,TRAINING_START,11,0
1494432927577,1,1494432927535,TRAINING_END,11,0
1494432927618,1,1494432927536,BREAK_START,12,0
1494432957578,1,1494432957536,BREAK_END,12,0
1494432957619,1,1494432957538,TRAINING_START,12,0
1494433017589,1,1494433017547,TRAINING_END,12,0
1494433017630,1,1494433017548,BREAK_START,13,0
1494433047590,1,1494433047548,BREAK_END,13,0
1494433047631,1,1494433047550,TRAINING_START,13,0
1494433107596,1,1494433107554,TRAINING_END,13,0
1494433107638,1,1494433107555,BREAK_START,14,1
1494433137597,1,1494433137555,BREAK_END,14,1
1494433137638,1,1494433137557,TRAINING_START,14,1
1494433197602,1,1494433197560,TRAINING_END,14,1
1494433197643,1,1494433197560,BREAK_START,15,1
1494433227603,1,1494433227561,BREAK_END,15,1
1494433227644,1,1494433227563,TRAINING_START,15,1
1494433287609,1,1494433287567,TRAINING_END,15,1
1494433287650,1,1494433287567,BREAK_START,16,0
1494433317610,1,1494433317568,BREAK_END,16,0
1494433317651,1,1494433317570,TRAINING_START,16,0
1494433377618,1,1494433377576,TRAINING_END,16,0
1494433377659,1,1494433377576,BREAK_START,17,1
1494433407619,1,1494433407577,BREAK_END,17,1
1494433407660,1,1494433407579,TRAINING_START,17,1
1494433467624,1,1494433467582,TRAINING_END,17,1
1494433467665,1,1494433467583,BREAK_START,18,1
1494433497626,1,1494433497584,BREAK_END,18,1
1494433497667,1,1494433497586,TRAINING_START,18,1
1494433557631,1,1494433557589,TRAINING_END,18,1
1494433557672,1,1494433557589,BREAK_START,19,0
1494433587632,1,1494433587590,BREAK_END,19,0
1494433587673,1,1494433587592,TRAINING_START,19,0
1494433647641,1,1494433647599,TRAINING_END,19,0
1494433647682,1,1494433647599,TASK_END,100,100
1494433647723,1,1494433647600,CONNECTION_CLOSE,300,300
